,,,Gladly,Birdeye,Front,Zendesk,Intercom,Hubspot Service Hub,Groove,Ada.cx,Landbot,Drift,ManyChat,ChatFuel,Quickchat,ZohoDesk,Freshdesk
Priority,,,,,,1,1,2,2,2,1,,,1,3,,
Summary,,,Revolves around the customer. Premium service.,"Also customer service, but hey mainly focus on the reputation management for the local businesses",Aggregates customer communications in one mailbox and allows to easily organise and collaborate on customer issues. Automation is less prominent as Front focuses on industries requiring a large degree of human touch.,,"Market leader, offering a breadth of use cases across customer service and lead generation, with a comprehensive set of integration. Offers state-of-art AI capabilities to automate interactions. Might be a bit difficult to set up due to its comprehensive nature.","A simple add-on to your Hubspot CRM. Handy for Hubspot users, it's a simple and robust solution. More advanced features are only available in more expensive plans.",Simple and affordable customer service tool offering basic functionality.,"A market leader for AI-automated customer service. The main focus is on the automation engine, which works even for voice. The solution is mainly aimed at Enterprise customers. It's a point solution, which means that it will likely require integration with other tools for a fully-functioning customer service system.","No-code, primarily rules-based chatbot builder that mainly captures leads. No native AI functionality. A cost-effective and simple solution.",,"Easy to start with and build custom flows, but it's mainly optimised for sales and not for customer service",Simple tool that's based on Messenger and WhatsApp and is designed primarily for sales support for ecommerce businesses. Since recently it has AI capabilities.,being filled out by Patryk,,
Website link,,,,,https://front.com/,,https://intercom.com/,https://www.hubspot.com/products/service?hubs_content=www.hubspot.com&hubs_content-cta=homepage-service,https://www.groovehq.com/,https://www.ada.cx/,https://landbot.io/,,,https://chatfuel.com/,,,
G2 Link,,,,,https://www.g2.com/products/front/reviews,https://www.g2.com/products/zendesk-support-suite/reviews,https://www.g2.com/products/intercom/reviews,https://www.g2.com/products/hubspot-service-hub/reviews,https://www.g2.com/products/groovehq/reviews,https://www.g2.com/products/ada-support-inc-ada/reviews,https://www.g2.com/products/landbot/reviews,,,https://www.g2.com/products/chatfuel-ai/reviews,,,
Capterra Link,,,,,https://www.capterra.com/p/132901/Front/,,https://www.capterra.co.uk/software/134347/intercom,https://www.capterra.com/p/182476/HubSpot-Service-Hub/,https://www.capterra.com/p/143005/Groove/,https://www.capterra.com/p/164470/Ada-Support/,https://www.capterra.co.uk/software/153051/landbot,,,,,,
Chatimize link,,,,,,none,https://chatimize.com/reviews/intercom/,https://chatimize.com/reviews/hubspot/,,,https://chatimize.com/reviews/landbot/,,,https://chatimize.com/reviews/chatfuel/,,,
Target industry,,,,,"Organisations that require a high degree of human touch (B2B Technology, Financial Services, Logistics, Manufacturing, Professional Services, Travel)",,,,,,,,,,,,
Size: Summary,,,,,Fit for larger organisations where collaboration is a bigger problem,,"Mid-market and enterprise, but some startups use it too","Smaller customers, but some larger ones too",Smaller companies,Larger customers: Mid-market to Enterprise,"Mostly smaller companies (1-50 employees), but all sizes are represented in the reviews",,,Mostly small businesses and mostly ecommerce,,,
Size: Small business (G2),,,,,51%,43%,57%,,,,,,,,,,
Size: Mid market (G2),,,,,41%,45%,36%,,,,,,,,,,
Size: Enterprise (G2),,,,,8%,12%,4%,,,,,,,,,,
Primary purpose,,,,,Customer service,,"Mostly used for customer service, but also for lead generation","Mainly support, sales use case also available",Support,"Support, but it can be used for sales and campaigns too","Mostly lead generation, but it also serves customer service",,,"Primarily sales and engagement, some customer support",,,
Contact channels,,,,,,,,,,,,,,,,,
,Phone,,,,Yes - via an integration,,Yes - allows to switch from phone to chat,No - only in beta; VoIP available,No,"Yes - remarkably, it's also possible to automate voice",No,,,No,,,
,Website live chat,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes - a Messenger plugin,,,
,Email,,,,Yes,,"Yes, but email AI is only coming soon",Yes,Yes,Yes,Yes,,,Unknown,,,
